#read_id	perc_id	species	kingdom
17245a54-9d2c-4522-88c3-f162c3a5e3fb	94.737	Cryptotermes secundus	Eukaryota
1759416f-5c2e-470c-b951-5f4c6b2173a1	89.796	Panesthia sp. 2 FL-2017	Eukaryota
17705671-73b8-4480-9e8d-ac4eab559b82	84.293	Blattella bisignata	Eukaryota
17b0762b-5417-4bbe-9971-2c060ff509c4	84.058	Tyrrhenoleuctra sp. TYCO-01	Eukaryota
17e12a9d-c3ca-49aa-bc7c-8255a93a0e4f	92.135	Panesthia matthewsi	Eukaryota
18213f72-aeab-4ab0-bf12-bfe97cebec73	80.665	Gromphadorhina laevigata	Eukaryota
1874ee03-63ba-4195-a43a-769496c6fa38	74.830	Arabidopsis thaliana	Eukaryota
190854a2-954a-4e17-8422-762ff84e9bae	93.182	Pieris rapae	Eukaryota
19206628-925a-4d53-9d75-15ebbfa92c10	77.358	Diploptera punctata	Eukaryota
194d8d2b-53d4-4d19-ada2-9d9f0a8d820a	83.781	Blattabacterium cuenoti BPAA	Bacteria
1a3ccd52-db20-4aab-91c5-1b4ec909b22c	100.000	Danio rerio	Eukaryota
1a7f0307-992d-4fd0-ab6a-a4c496f700bd	83.283	Gromphadorhina laevigata	Eukaryota
1ab9e8c3-d682-4b83-a090-b88954a16c15	100.000	Anabas testudineus	Eukaryota
1ca69e98-39ca-4bde-9f02-5c49f23f3444	83.082	Centruroides sculpturatus	Eukaryota
1d073591-0295-4db0-814a-a39c23458e67	76.476	Anopheles guarani	Eukaryota
1d5c6ba6-2c1b-4871-9985-86185c16b408	87.919	Panesthia cribrata	Eukaryota
1d8ba19b-bf0a-4077-84f4-937c8d68789b	74.526	Opisthoplatia orientalis	Eukaryota
1e580a31-f886-463d-a9ce-6080d8b33f83	90.164	Zootermopsis nevadensis	Eukaryota
1f696e4a-ba86-4cc7-9e42-c076c36de7fa	72.636	Zootermopsis nevadensis	Eukaryota
1f8490c6-ddbf-4a36-b1aa-09208adfbeea	80.791	Cryptotermes secundus	Eukaryota
1fbe24a6-5e45-4a55-a3f6-76055a266f7c	73.394	Opisthoplatia orientalis	Eukaryota
2006659e-8175-4ed9-b897-5d78fb9155b5	88.235	Panesthia saussurii	Eukaryota
202a9c5c-f6b8-4ced-a203-41b5cd36e9ab	88.764	Panesthia cribrata	Eukaryota
2134b7ee-075c-4e98-af85-a048eeee5d78	75.800	Diploptera punctata	Eukaryota
223a303e-92b6-4824-8ced-c73f6561f740	100.000	Diaphorina citri	Eukaryota
2257227b-9fe5-4514-967a-c35d5416b8b0	76.602	Bacillus atticus	Eukaryota
22761de0-b8d0-466b-acc5-293941373e1c	83.929	Zootermopsis nevadensis	Eukaryota
228364a4-f222-48d0-977e-1e077f53bca4	100.000	Cryptotermes secundus	Eukaryota
228dc4aa-932e-4edd-ae05-a41731175d5d	93.333	Panesthia lata	Eukaryota
228fcc84-98f6-41ea-8e6d-d3d53d5fff73	74.186	Diploptera punctata	Eukaryota
22c3a5e5-1aed-4f2d-8232-67785189eb1e	100.000	Danio rerio	Eukaryota
23446984-fb24-4b82-a046-233ededf9835	100.000	Rhopalosiphum maidis	Eukaryota
23b7b604-af12-45b1-931f-16801daf0344	80.156	Diploptera punctata	Eukaryota
23d0243e-f7d3-4a9b-b892-fb37f0ad407e	89.855	Phacochoerus africanus	Eukaryota
24090b62-c2a9-4795-b6bc-557689c90b1a	80.556	Diploptera punctata	Eukaryota
24616c39-91d4-4262-b597-8851a59ad598	78.846	Onthophagus taurus	Eukaryota
24ffd307-3b8b-495b-af8d-3d4b14ac21f1	94.872	Danio rerio	Eukaryota
254113b2-6a2f-404b-9c2e-4f4a6e30e78e	83.436	Cryptotermes secundus	Eukaryota
256d8415-a56b-4b3d-898c-c494ed921507	96.970	Melanaphis sacchari	Eukaryota
25e78c9b-3206-431c-954b-dc0b5b39c1a8	78.800	Diploptera punctata	Eukaryota
2618bc51-376a-405d-890c-ce793ad31ecc	81.564	Diploptera punctata	Eukaryota
2637e4ba-a0e8-4b3a-9a82-a8b00b7c555a	87.281	Nauphoeta cinerea	Eukaryota
26acb3c2-a858-4a52-bb42-ed5b14491c4b	92.703	Panesthia cribrata	Eukaryota
26c299b8-11be-4255-8f5d-12955eade2d4	95.082	Panesthia cribrata	Eukaryota
27616c13-69eb-4663-8a94-86cb4f4e471f	72.860	Contacyphon sp. BT0012	Eukaryota
276e3e6e-85a4-4920-b4a8-ec640d4a663e	87.313	Panesthia cribrata	Eukaryota
27b4fbf3-c919-4f3e-9b6d-58c955e241a3	100.000	Zootermopsis nevadensis	Eukaryota
27cbdccd-1b34-4dc6-ab38-e95130c061f9	100.000	Brassica rapa	Eukaryota
2873464f-3bb4-41f2-a8e5-ed6adfa50f60	100.000	Strongyloides stercoralis	Eukaryota
28fdf999-9e41-4d22-95c1-459f1d8bd52a	76.629	Diploptera punctata	Eukaryota
2913076d-93b9-4b6c-b223-3d0075411e44	89.286	Cryptocercus meridianus	Eukaryota
29e1f9b4-a737-404c-85ba-97c923e832af	75.377	Diploptera punctata	Eukaryota
2a3dabd6-acf6-4271-825f-834e73fb13d5	97.143	Vigna angularis var. angularis	Eukaryota
2af7e10f-f37a-4ba0-8a71-e29a641f9c1c	92.593	Bitoma sp. CSR061	Eukaryota
2c6bf78e-1f74-4d66-aa21-f076c14372ff	78.378	Panchlora nivea	Eukaryota
2d3f6911-b136-41aa-99df-110400b15ffd	79.405	Gromphadorhina laevigata	Eukaryota
2d818931-ef91-49b7-90de-71283dbb08cf	78.689	Ipomoea triloba	Eukaryota
2e219af3-fff7-4fe7-b130-53fdc1b9f89e	91.150	Panesthia angustipennis cognata	Eukaryota
2e351bff-4515-4dea-afbb-bf8f95ff3b50	86.429	Panesthia cribrata	Eukaryota
2ef8b749-01f0-4aba-8990-97fbcc2884b5	76.346	Opisthoplatia orientalis	Eukaryota
2f5073bc-2de1-4cf9-80a7-1d8aef9d657b	100.000	Cyprinus carpio	Eukaryota
2f549364-03f2-493f-bb22-d145fe794c3f	100.000	Cryptotermes secundus	Eukaryota
2f82742c-c6c1-4cd3-8b9e-324b4ab5b6a8	97.368	Cryptotermes secundus	Eukaryota
2fabff95-b1de-41f9-8cc9-90e740c70890	89.844	Cryptotermes secundus	Eukaryota
305f1a1d-0f9c-40cc-b3e6-07162479131c	77.246	Diploptera punctata	Eukaryota
307ad6f7-2d96-4bb6-8e00-19cac75baa41	73.810	Diploptera punctata	Eukaryota
30c18f98-f41e-4815-874b-c01d68c92697	76.506	Diploptera punctata	Eukaryota
30ecfa89-b932-4c1e-af42-50a7553690cf	78.919	Cryptocephalus vittatus	Eukaryota
30f06545-2b24-47db-991a-aa682e33239b	76.562	Cryptotermes secundus	Eukaryota
312b67f9-df81-489f-80c1-b0f3286b18fb	90.381	Centruroides sculpturatus	Eukaryota
3149297a-355c-43f3-a55f-0217f44a385b	75.446	Diploptera punctata	Eukaryota
3177daab-c398-4695-9db6-e677c3bd554a	91.304	Cryptotermes secundus	Eukaryota
318f9fcb-5858-4675-a05d-0dbc96411762	83.582	Danio rerio	Eukaryota
31c5ba74-353f-4647-807f-005c8e37c577	86.135	Blattabacterium cuenoti BPAY	Bacteria
32536f17-6123-4708-a865-265e85897bf7	77.846	Diploptera punctata	Eukaryota
32b6af47-99bd-4c3a-89bb-15192ca4bdce	100.000	Betta splendens	Eukaryota
33393738-3e87-4845-9169-8176fdd7c2c1	83.664	Centruroides sculpturatus	Eukaryota
34227c15-3fa9-4be4-8233-4a78f51a87b1	88.160	Centruroides sculpturatus	Eukaryota
352129b8-85f4-4b95-a8ad-d89ee3257cc7	81.522	Bittacomorphella fenderiana	Eukaryota
35746b1c-cef0-423c-945b-9ad5d870eb11	74.729	Zootermopsis nevadensis	Eukaryota
3619d399-1e2f-449e-a4db-4e09a9794ae2	91.667	Cryptotermes secundus	Eukaryota
362e1488-8883-4b88-b9a3-800ebf5beddb	80.808	Opisthoplatia orientalis	Eukaryota
36ff02ea-2a97-40b8-a8ef-7cde47854f07	73.684	Diploptera punctata	Eukaryota
370a0e61-d4b0-4a66-8847-a2bb4906b293	86.784	Panesthia australis	Eukaryota
37200578-c77b-4df8-be74-1e7a48074d50	75.071	Diploptera punctata	Eukaryota
379bb8c8-816a-4bf2-8efb-99e5a42016f8	86.937	Parasteatoda tepidariorum	Eukaryota
37cf3b9b-aad1-489c-b691-efb0c78f4b56	87.817	Panesthia sp. 1 DJGI-2006	Eukaryota
38390cd2-08b1-4675-aabc-a5d2578a8357	87.143	Atrijuglans hetaohei	Eukaryota
389b5f90-dd59-40f8-b82c-a9b4ef3be617	80.357	Zootermopsis nevadensis	Eukaryota
38b82b70-4baf-4e45-8a9d-cf1a243f1843	86.702	Ancaudellia shawi	Eukaryota
38f4b804-f444-43e5-8e35-5099a5730a19	86.458	Cryptotermes secundus	Eukaryota
399cb48b-3087-40ed-a451-8f993e3d98c3	81.720	Cryptotermes secundus	Eukaryota
39c4b2d9-e15c-4e12-a8e3-2e2677197117	96.970	Frankliniella occidentalis	Eukaryota
39d9c950-a569-44c7-b77f-4782c2cddfe9	73.469	Diploptera punctata	Eukaryota
3a3c8255-5e01-4f08-a293-90e59783706c	78.025	Zootermopsis nevadensis	Eukaryota
3b4fac1a-15e5-441d-bac4-c6d2857b30b5	73.077	Megathymus cofaqui cofaqui	Eukaryota
3b96a8b1-119f-455b-b97a-a4ba9cb97744	94.872	Plasmodium sp. gorilla clade G1	Eukaryota
3c39d6bc-9849-4e54-9d4b-6e3ebfebb61a	96.078	Scaptomyza frustulifera	Eukaryota
3c3c75ef-856f-4a80-9a64-9584d2327717	100.000	Gouania willdenowi	Eukaryota
3c4f3390-1bd6-4402-b312-8e2e9783d4a1	95.000	Solanum pennellii	Eukaryota
3c5426fc-67cd-4804-880d-bc715de596d6	90.476	Narosa nigrisigna	Eukaryota
3c813e07-e46f-46d2-8c81-50f25a4b696f	78.367	Diploptera punctata	Eukaryota
3d1146e3-5dca-4ded-a835-2b848fd275e9	79.954	Cryptotermes secundus	Eukaryota
3d16fa87-5ef8-4752-bec8-68f850021cbc	81.553	Reticulitermes lucifugus lucifugus	Eukaryota
3d4c3a9a-454d-40b3-bf02-17ec21108cee	97.826	Zootermopsis nevadensis	Eukaryota
3ddd1f7f-e4ad-4d8f-870f-9da9b482ad15	94.118	Diploptera punctata	Eukaryota
3e912c8f-e62b-48e9-b250-d08896b23de5	100.000	Cryptotermes secundus	Eukaryota
3f2314eb-2f7c-4f5e-b78c-e7a7e42f66a2	87.302	Rhabdoblatta atra	Eukaryota
4001387d-0e7a-49b2-9d70-04969bf37bdb	78.635	Gromphadorhina laevigata	Eukaryota
40076335-120d-42a0-9789-ecbf6f03616f	81.395	Centruroides sculpturatus	Eukaryota
402298bf-5288-4a48-b575-e2a68257eead	73.624	Diploptera punctata	Eukaryota
403a28be-6b39-4c9a-b4c0-c3dd0f8de930	72.659	Opisthoplatia orientalis	Eukaryota
4079ab67-5982-4728-be2f-8027c6424dcc	84.946	Zootermopsis nevadensis	Eukaryota
410a1011-c29f-4d4c-ad82-ecab9917ac26	78.151	Athalia rosae	Eukaryota
41e4b0c2-2116-4f25-9fe2-d1b33e3d184c	80.835	Blattella germanica	Eukaryota
4211e15c-f742-4dfc-ac85-e8edb3c6b872	87.931	Panchlora viridis	Eukaryota
42434d5e-e64e-46b7-b5ff-eeae0cf3daff	100.000	Cryptotermes secundus	Eukaryota
42f1fdfe-1bae-4c68-85ba-2b923c742cfd	73.720	Diploptera punctata	Eukaryota
4303dcc9-2a18-4cc0-a389-e126c7e20600	93.182	Numida meleagris	Eukaryota
434888a8-70f5-4042-a4e3-d34f4006c2a9	100.000	Plasmodium sp. gorilla clade G2	Eukaryota
434a1434-f28e-422d-81cd-e81129b2cee4	79.412	Diploptera punctata	Eukaryota
43624883-7d7c-4f38-ab63-b185ee5abb4b	89.256	Panesthia australis	Eukaryota
436d07a7-6fb6-4fe7-b9d9-c88dd21de6ca	97.059	Aedes aegypti	Eukaryota
438c75bd-ac93-4ce1-90e9-ec408f35ea87	76.157	Diploptera punctata	Eukaryota
43efd610-93c0-4918-8c29-57923dfef8cf	74.057	Opisthoplatia orientalis	Eukaryota
445e8ebe-7d64-4d0a-adee-c16ee26aa04b	97.059	Euroleon nostras	Eukaryota
44f254db-6544-4da9-9771-7acde49a5bf9	80.916	Reticulitermes lucifugus lucifugus	Eukaryota
465f6b87-329c-47cc-9f0d-79ca63450b2b	94.872	Gouania willdenowi	Eukaryota
4669e4c5-0e23-4e08-a2ae-630bb111671c	100.000	Cryptotermes secundus	Eukaryota
468fd168-19d8-4fb7-a340-8e2f2ec7882e	90.000	Dermatophagoides pteronyssinus	Eukaryota
46a82ca5-1e4b-40aa-9570-aa848c24c319	73.750	Diploptera punctata	Eukaryota
48dd2721-a51a-433d-a891-aeab9015b43a	94.872	Amyelois transitella	Eukaryota
49272634-c911-41e5-b2c5-9ac53be6db6a	79.866	Drosophila tsigana	Eukaryota
49602ce9-b105-4330-90f4-a377eb70166e	85.853	Panesthia cribrata	Eukaryota
49871994-5cf0-49dd-91cc-174489281437	77.341	Diploptera punctata	Eukaryota
4b0319ea-0f38-489f-8b8b-0dbee74b0c9f	83.898	Panesthia australis	Eukaryota
4b068f1e-4601-4a04-a11c-97dc31999c0f	100.000	eukaryotic synthetic construct	N/A
4b458c62-32e5-4b5f-808b-e5e75681b926	100.000	Denticeps clupeoides	Eukaryota
4b69583a-a6a4-494c-9390-a033215d0525	94.737	Solanum pennellii	Eukaryota
4c5d08e3-4fc2-4e76-9fd2-47c6c3d5589d	81.148	Diploptera punctata	Eukaryota
4c87436d-ddc2-4751-a12d-6d126ffd47e6	77.273	Jaculus jaculus	Eukaryota
4ca72347-96af-46ba-836e-28351b561648	80.159	Diploptera punctata	Eukaryota
4d4ebc88-c8ee-44cd-b2c3-23175ba27e4a	100.000	Cryptotermes secundus	Eukaryota
4dd208a1-a61c-47b2-a1ad-78527e8069ea	82.946	Zootermopsis nevadensis	Eukaryota
4e7b41b3-2f49-4578-b374-a9c37779193b	88.119	Blackburnia posticata	Eukaryota
4e9dc8b6-b8e9-4dc9-8f7e-308f9711457f	100.000	Mus musculus	Eukaryota
4ee016d7-facf-464a-90e4-86b1262f8503	86.813	Tyrannophasma gladiator	Eukaryota
4f0bed5c-ed78-46a7-98d2-a05cb416a19e	100.000	Mus musculus	Eukaryota
4f5bdc76-d2f8-4878-aad8-8a9b23f7605a	78.094	Opisthoplatia orientalis	Eukaryota
4fc4d020-94f2-41b4-8c2c-4f708b4b38f9	86.642	Panesthia cribrata	Eukaryota
4fd19078-591e-4b7e-9c19-88d41d4a931b	90.909	Bemisia tabaci	Eukaryota
51079ba8-ff49-4dfd-b552-c87ee52c2874	88.235	Anisosticta novemdecimpunctata	Eukaryota
516a2bfd-4302-49e9-8dcc-9113d12b2388	85.279	Centruroides sculpturatus	Eukaryota
517740d9-87a0-4224-853f-7cba1003087b	87.838	Parapanesthia pearsoni	Eukaryota
52c3e8c4-437d-4a00-9eb8-9325f0389046	78.462	Reticulitermes lucifugus lucifugus	Eukaryota
5382ac02-5ecd-4c84-ba99-f544d1948820	84.690	Centruroides sculpturatus	Eukaryota
539d95cf-d590-4e20-904b-213849d366e9	79.832	Trachymyrmex septentrionalis	Eukaryota
53d39f56-289b-4914-b0fe-af8b30e4ca80	84.404	Cryptocercus meridianus	Eukaryota
5472775b-5611-48fb-ab12-037ee036ebad	97.059	Homo sapiens	Eukaryota
54862e12-f36b-41df-9105-e71ceaafc20b	76.222	Diploptera punctata	Eukaryota
5496e220-1366-4031-abb9-f4ccf9d3ef3d	91.045	Opisthoplatia orientalis	Eukaryota
55260638-54b2-4e38-8299-636abd7a822d	73.684	Diploptera punctata	Eukaryota
55ce4f72-7b7e-46a0-86da-2393db51fba7	78.698	Cymbiodyta marginella	Eukaryota
55d28029-99b2-4fe2-8576-6c022605bac4	95.455	Cicindela (Rivacindela) sp. JP-289	Eukaryota
57448a47-e65a-4c0b-8640-8e14a549152a	100.000	Plasmodium berghei	Eukaryota
579f209c-16a8-4bc6-8797-9ee1a08e5c44	100.000	Plasmodium falciparum 3D7	Eukaryota
57a2445b-1861-491a-9b46-e64b7d540d18	86.885	Panesthia cribrata	Eukaryota
57a8f6dd-3c27-4a0e-96a1-a71df20498ce	82.787	Opisthoplatia orientalis	Eukaryota
5843a774-b15e-468e-86a2-bec26ebeb56d	72.464	Diploptera punctata	Eukaryota
584a182e-3ae6-447d-b091-f588c4da8daa	89.583	Brassica oleracea	Eukaryota
58629ddb-3cc4-454a-91b6-8b77479026cb	80.000	Diploptera punctata	Eukaryota
58d0a402-d2b5-4abd-9a80-4da65cdc26dc	97.297	Danio rerio	Eukaryota
592104c5-6a94-474e-a78c-79481acbabb9	83.916	Pycnoscelus surinamensis	Eukaryota
59d2a904-5d5a-4322-ab55-1a277c4cc7e3	91.566	Panesthia cribrata	Eukaryota
5ac3e6f4-cebc-475b-a848-9f65004cbf8b	77.049	Diploptera punctata	Eukaryota
5b21a678-2c2e-43fe-9856-9bcc6c033c2f	87.059	Cardiodactylus muiri	Eukaryota
5b5d1ed0-904f-4570-9608-b03dc29685c6	93.750	Athous haemorrhoidalis	Eukaryota
5b6b5e63-c52b-40c3-848f-b8f6e56ec666	89.279	Blattabacterium cuenoti BPAA	Bacteria
5b948ba3-0394-41ae-8def-db99ff414bb2	75.000	Diploptera punctata	Eukaryota
5c6e563b-8305-4b86-be88-8008dcf6afcf	84.507	Gerris thoracicus	Eukaryota
5ca96016-163b-457f-bc48-6484d428412e	89.474	Hermetia illucens	Eukaryota
5cbe0855-7e97-4705-9163-f444d0566fd2	97.015	Panesthia cribrata	Eukaryota
5d139114-28bc-48c9-8633-84f61c3164ce	95.238	Anabolia bimaculata	Eukaryota
5d8f18e3-ed51-4e9d-9a63-68e83b07b751	76.894	Diploptera punctata	Eukaryota
5df373a0-fb80-410a-a647-11d26c9c0908	73.438	Diploptera punctata	Eukaryota
5e2e3dc3-f659-4178-bb2e-5dfbaa1f78fa	79.652	Serratia quinivorans	Bacteria
5e8b444f-2ee0-4eaf-914a-ec3526a24f11	87.273	Parasteatoda tepidariorum	Eukaryota
5e9ab564-62a1-40c2-bead-9c7bd883dad7	92.831	Blattabacterium cuenoti BPAY	Bacteria
5eac8ece-1bdf-4de8-93a5-89007c3047bc	77.511	Opisthoplatia orientalis	Eukaryota
5ef706dd-39cf-4527-aab3-a72a1006bbe4	100.000	Panesthia cribrata	Eukaryota
5f202b31-726e-44c4-b82a-09b34942c83d	82.437	Gromphadorhina laevigata	Eukaryota
600c4226-5b77-422c-9231-47c2ea1220ae	78.261	Gyna capucina	Eukaryota
607a88a6-e6c6-4512-be3a-2908df7c122e	97.500	Simulium variegatum	Eukaryota
60b07e02-aa74-48ab-9813-62c85519a398	74.757	Diploptera punctata	Eukaryota
60c86fcf-9f05-4100-b27f-a515d5b3b017	72.368	Diploptera punctata	Eukaryota
60d057f3-83e2-4ec0-af27-5be5a0fb7fb0	96.721	Salganea ternatensis hirsuta	Eukaryota
6138c4f3-a9c9-4d81-b0a2-0fe7734d0729	95.000	Cryptotermes secundus	Eukaryota
614b0201-d6c0-4ed1-ac25-d5f238b37407	79.747	Hippocampus comes	Eukaryota
617357a1-417f-4d44-96af-7685edda4252	100.000	Cryptotermes secundus	Eukaryota
61cd0657-153c-4740-8d84-780bea88e9f5	79.444	Diploptera punctata	Eukaryota
62cbf91e-65d6-4e7a-846d-e1be47fc161f	74.276	Diploptera punctata	Eukaryota
62e34acc-23e0-4bea-bc43-29e211a8e8e4	90.909	Panesthia cribrata	Eukaryota
6314f3fc-54dd-4792-9cc0-ae57ac749c52	74.687	Diploptera punctata	Eukaryota
6339f1fe-4fa6-4295-86fd-e4b2ce52c670	80.174	Blattabacterium cuenoti BPAY	Bacteria
641709a2-a130-4344-909f-a86dceea27ba	80.110	Afipia sp. GAS231	Bacteria
64e397d9-af1a-4719-816e-bd4617dd7a20	89.796	Panesthia australis	Eukaryota
650726e2-9ca3-4ff9-a9c1-8708b300dd88	97.222	Thaumetopoea pityocampa	Eukaryota
6598beec-3105-4ab4-a139-5db4fd62330f	100.000	Cryptotermes secundus	Eukaryota
65a98973-8444-4ecc-8d08-1bc6b5219191	93.023	Clostridium novyi NT	Bacteria
65f40284-6007-4217-980c-6095d9f1b405	93.182	Leiodidae sp. BMNH 1274772	Eukaryota
